waveform	[0]	[1]
t0	12/31/1903  19:00:00.000000	12/31/1903  19:00:00.000000
delta t	0.001000	0.001000

time	Y[0]	Y[1]
12/31/1903  19:00:00.000000	2.819078E+0	1.026060E+0
12/31/1903  19:00:00.001000	2.867071E+0	8.831218E-1
12/31/1903  19:00:00.002000	2.907822E+0	7.379524E-1
12/31/1903  19:00:00.003000	2.941227E+0	5.909188E-1
12/31/1903  19:00:00.004000	2.967202E+0	4.423925E-1
12/31/1903  19:00:00.005000	2.985682E+0	2.927487E-1
12/31/1903  19:00:00.006000	2.996620E+0	1.423654E-1
12/31/1903  19:00:00.007000	2.999988E+0	-8.377570E-3
12/31/1903  19:00:00.008000	2.995778E+0	-1.590994E-1
12/31/1903  19:00:00.009000	2.984001E+0	-3.094192E-1
12/31/1903  19:00:00.010000	2.964685E+0	-4.589575E-1
12/31/1903  19:00:00.011000	2.937881E+0	-6.073364E-1
12/31/1903  19:00:00.012000	2.903655E+0	-7.541811E-1
12/31/1903  19:00:00.013000	2.862094E+0	-8.991207E-1
12/31/1903  19:00:00.014000	2.813303E+0	-1.041789E+0
12/31/1903  19:00:00.015000	2.757406E+0	-1.181826E+0
12/31/1903  19:00:00.016000	2.694543E+0	-1.318877E+0
12/31/1903  19:00:00.017000	2.624874E+0	-1.452597E+0
12/31/1903  19:00:00.018000	2.548574E+0	-1.582647E+0
12/31/1903  19:00:00.019000	2.465836E+0	-1.708699E+0
12/31/1903  19:00:00.020000	2.376869E+0	-1.830435E+0
12/31/1903  19:00:00.021000	2.281898E+0	-1.947548E+0
12/31/1903  19:00:00.022000	2.181163E+0	-2.059740E+0
12/31/1903  19:00:00.023000	2.074917E+0	-2.166730E+0
12/31/1903  19:00:00.024000	1.963431E+0	-2.268246E+0
12/31/1903  19:00:00.025000	1.846984E+0	-2.364032E+0
12/31/1903  19:00:00.026000	1.725872E+0	-2.453847E+0
12/31/1903  19:00:00.027000	1.600401E+0	-2.537463E+0
12/31/1903  19:00:00.028000	1.470886E+0	-2.614669E+0
12/31/1903  19:00:00.029000	1.337656E+0	-2.685270E+0
12/31/1903  19:00:00.030000	1.201047E+0	-2.749088E+0
12/31/1903  19:00:00.031000	1.061404E+0	-2.805962E+0
12/31/1903  19:00:00.032000	9.190798E-1	-2.855747E+0
12/31/1903  19:00:00.033000	7.744339E-1	-2.898319E+0
12/31/1903  19:00:00.034000	6.278317E-1	-2.933569E+0
12/31/1903  19:00:00.035000	4.796436E-1	-2.961409E+0
12/31/1903  19:00:00.036000	3.302438E-1	-2.981768E+0
12/31/1903  19:00:00.037000	1.800098E-1	-2.994595E+0
12/31/1903  19:00:00.038000	2.932106E-2	-2.999857E+0
12/31/1903  19:00:00.039000	-1.214417E-1	-2.997541E+0
12/31/1903  19:00:00.040000	-2.718977E-1	-2.987653E+0
12/31/1903  19:00:00.041000	-4.216669E-1	-2.970218E+0
12/31/1903  19:00:00.042000	-5.703709E-1	-2.945280E+0
12/31/1903  19:00:00.043000	-7.176341E-1	-2.912903E+0
12/31/1903  19:00:00.044000	-8.630845E-1	-2.873166E+0
12/31/1903  19:00:00.045000	-1.006355E+0	-2.826172E+0
12/31/1903  19:00:00.046000	-1.147083E+0	-2.772039E+0
12/31/1903  19:00:00.047000	-1.284913E+0	-2.710904E+0
12/31/1903  19:00:00.048000	-1.419498E+0	-2.642920E+0
12/31/1903  19:00:00.049000	-1.550497E+0	-2.568260E+0
12/31/1903  19:00:00.050000	-1.677579E+0	-2.487113E+0
12/31/1903  19:00:00.051000	-1.800423E+0	-2.399683E+0
12/31/1903  19:00:00.052000	-1.918720E+0	-2.306191E+0
12/31/1903  19:00:00.053000	-2.032169E+0	-2.206873E+0
12/31/1903  19:00:00.054000	-2.140485E+0	-2.101981E+0
12/31/1903  19:00:00.055000	-2.243394E+0	-1.991779E+0
12/31/1903  19:00:00.056000	-2.340636E+0	-1.876545E+0
12/31/1903  19:00:00.057000	-2.431966E+0	-1.756571E+0
12/31/1903  19:00:00.058000	-2.517152E+0	-1.632160E+0
